Дата,Категория,Сумма (руб.),Комментарий,Теги
25.05.2026,Ремонт,6200.00,Замена тормозных колодок передние и задние.,Автомобиль
25.05.2026,Кино,600.00,Билет в кино. Вечерний сеанс 3D,Развлечение
25.05.2026,Электроника,75000.00,"Ноутбук для работы модель с процессором i7, 16 ГБ ОЗУ",Техника
01.05.2026,Аксессуары,2800.00,Шапка и шарф. Комплект из шерсти,Одежда
16.04.2026,ТО,5500.00,"Тех осмотр, плановое обслуживание",Автомобиль
13.03.2026,Обувь,9000.00,Зимние ботинки. Утеплённые ботинки на зиму,Одежда
27.02.2026,Аудиотехника,8500.00,"Наушники беспроводные шумоподавление, до 30 часов работы",Техника
22.02.2026,Проживание,28000.00,Отель в Сочи 7 ночей в отеле 4*,Путешествие
07.02.2026,Транспорт,12000.00,Авиабилет Москва-Сочи туда и обратно на двоих,Путешествие
05.02.2025,Фестивали,8000.00,Билет на фестиваль. Трёхдневный музыкальный фестиваль,Развлечение
