Категория,Потрачено (руб),Дата начала,Дата конца,Тип отчёта
IT-услуги,0,2026-07-12,2026-07-19,weekly
Маркетинг,0,2026-07-12,2026-07-19,weekly
Развлечения,0,2026-07-12,2026-07-19,weekly
Образование,0,2026-07-12,2026-07-19,weekly
Питание,0,2026-07-12,2026-07-19,weekly
Проживание,0,2026-07-12,2026-07-19,weekly
Транспорт,0,2026-07-12,2026-07-19,weekly
Электроника,0,2026-07-12,2026-07-19,weekly
Аудиотехника,0,2026-07-12,2026-07-19,weekly
Обувь,0,2026-07-12,2026-07-19,weekly
Аксессуары,0,2026-07-12,2026-07-19,weekly
Кино,0,2026-07-12,2026-07-19,weekly
Фестивали,0,2026-07-12,2026-07-19,weekly
ТО,0,2026-07-12,2026-07-19,weekly
Ремонт,0,2026-07-12,2026-07-19,weekly
