Категория,Потрачено (руб),Дата начала,Дата конца,Тип отчёта
IT-услуги,12000,Начало времён,2026-07-19,all_time
Маркетинг,15000,Начало времён,2026-07-19,all_time
Развлечения,1800,Начало времён,2026-07-19,all_time
Образование,18000,Начало времён,2026-07-19,all_time
Питание,3800,Начало времён,2026-07-19,all_time
Проживание,46000,Начало времён,2026-07-19,all_time
Транспорт,21700,Начало времён,2026-07-19,all_time
Электроника,87500,Начало времён,2026-07-19,all_time
Аудиотехника,30500,Начало времён,2026-07-19,all_time
Обувь,15500,Начало времён,2026-07-19,all_time
Аксессуары,4200,Начало времён,2026-07-19,all_time
Кино,3000,Начало времён,2026-07-19,all_time
Фестивали,13200,Начало времён,2026-07-19,all_time
ТО,17800,Начало времён,2026-07-19,all_time
Ремонт,38600,Начало времён,2026-07-19,all_time
